num_estacion,lat,lon,nombre
226,-34.633335,-58.4132263,Virrey Liniers
227,-34.6105021,-58.4327935,Aranguren
228,-34.6162819,-58.3657444,Madero UCA
229,-34.5813811,-58.4514575,PLAZOLETA CELEDONIO FLORES
230,-34.5678255,-58.4645037,PLAZA CASTELLI
231,-34.6051305,-58.4458398,PLAZA BENITO NAZAR
232,-34.5599395,-58.4788904,Tamborini
233,-34.5539765,-58.4360367,Plaza República De Mexico
234,-34.5483593,-58.4475673,UNIVERSIDAD DI TELLA
235,-34.5737764,-58.4868051,JUAN MANUEL DE ROSAS
236,-34.5623422,-58.4550484,Plaza Rafael Hernandez
238,-34.6365814,-58.4367011,CACHIMAYO
239,-34.5650089,-58.4201625,Plaza República de Ecuador
240,-34.558137,-58.465559,Vidal
241,-34.600874,-58.494123,Villa del Parque
242,-34.5771741,-58.4032162,MALBA
244,-34.5874735,-58.4842469,Plaza Alfredo Nobel
245,-34.5522044,-58.4431506,Husares
246,-34.554326,-58.4389256,Sucre y Dragones
247,-34.5839895,-58.4666304,Tronador
248,-34.5738411,-58.4742812,Plaza Zapiola
249,-34.649843,-58.388562,LEONARDO PEREYRA
250,-34.6526797,-58.377215,Plaza Diaz Velez
251,-34.6446224,-58.409772,Plaza Jose C Paz
252,-34.6445163,-58.3762137,PLAZA HERRERA
253,-34.6172808,-58.4167728,Boedo & Venezuela
254,-34.6206836,-58.4415718,PRIMERA JUNTA
255,-34.6221889,-58.44855,Puan
256,-34.610398,-58.454304,PAYSANDU
257,-34.570829,-58.481233,Plaza Marcos Sastre
258,-34.5655918,-58.4554838,La Pampa
259,-34.5580469,-58.4434052,Club Excursionistas
260,-34.550961,-58.4381142,Paseo de las Americas
261,-34.616207,-58.4406995,Plaza Bruno Giordano
262,-34.60962,-58.4673963,Plaza Saenz Peña
263,-34.6217948,-58.4575279,PLAZA DEL ANGEL GRIS
264,-34.5559308,-58.4812325,CNEL. JUAN CRUZ CZETZ
265,-34.6418833,-58.450658,Plaza Don Segundo Sombra
266,-34.6601336,-58.4287202,BERG
267,-34.6296512,-58.4835484,PLAZA VELEZ SARSFIELD
268,-34.5500734,-58.476643,GARCIA DEL RIO
269,-34.577296,-58.457854,SAN MIGUEL DE GARICOITS
